구분,시도,상세주소,Latitude,Longitude,사찰명,소속단체(종단)
1,서울,서울특별시 강남구 봉은사로 531,37.5151403,127.0569421,봉은사,조계종
2,서울,서울특별시 강남구 광평로 10길 30-71,37.4774335,127.074975,불국사,태고종
3,서울,서울특별시 강북구 화계사길 117,37.6326087,127.0073144,화계사,조계종
4,서울,서울특별시 강북구 인수봉로 23길 235,37.6306404,127.0030107,삼성암,조계종
5,서울,서울특별시 강북구 삼양로 173길 504,37.6554903,126.988989,도선사,조계종
6,서울,서울특별시 강북구 삼양로 145길 177,37.6500236,127.0030498,보광사,선학원
7,서울,서울특별시 강북구 삼양로 179길 209-81,37.6713933,127.0002746,용덕사,조계종
8,서울,서울특별시 강북구 삼양로 179길 209-44,37.6607347,126.993781,신검사,대한불교법화선종
9,서울,서울특별시 강북구 삼각산로 1,37.6373995,127.0051522,본원정사,대각회
10,서울,서울특별시 강서구 금낭화로17길 261,37.5832053,126.8057095,약사사,조계종
11,서울,서울특별시 강서구 개화동로13길 56-33,37.5805347,126.803209,미타사,조계종
12,서울,서울특별시 강서구 등촌로39가길 103,37.5429205,126.8570029,법성사,조계종
13,서울,서울특별시 관악구 승방1길 109-80 (남현동),37.4675838,126.9764942,관음사,조계종
14,서울,서울특별시 관악구 약수암1길 28 (삼성동),37.4592786,126.9344993,약수사,조계종
15,서울,서울특별시 관악구 신림동 194-1 (대학동),37.4487326,126.9542285,자운암,태고종
16,서울,서울특별시 관악구 신림로15-250 (신림동),37.4867897,126.9276112,성주암,태고종
17,서울,서울특별시 광진구 아차산로 107(구의동),37.5444007,127.092844,영화사,조계종
18,서울,서울특별시 금천구 호암로 278 (시흥동),37.4525466,126.9255418,호압사,조계종
19,서울,서울특별시 노원구 상계동 산152,37.6693772,127.0744345,학림사,조계종
20,서울,서울특별시 노원구 상계동 산154-1,37.6731317,127.0815727,용굴암,조계종
21,서울,서울특별시 노원구 중계본동 산102,37.6527082,127.0915884,학도암,조계종
22,서울,서울특별시 노원구 덕릉로 145길 99,37.6836895,127.0856653,도안사,조계종
23,서울,서울특별시 도봉구 도봉로169길 520,37.6829877,127.0106829,원통사,조계종
24,서울,서울특별시 도봉구 도봉산길 92-2,37.6941519,127.0199528,천축사,조계종
25,서울,서울특별시 도봉구 도봉산길 92-4,37.6952452,127.0200052,만월암,조계종
26,서울,서울특별시 동대문구 청량리1동 61,37.5872498,127.0451811,청량사,조계종
27,서울,서울특별시 동대문구 회기동 109-1,37.5942794,127.0504178,연화사,조계종
28,서울,서울특별시 동작구 현충로 210 국립현충원 내,37.5029165,126.9687753,지장사,조계종
29,서울,서울특별시 동작구 국사봉1길 235-14,37.4924324,126.9369781,사자암,조계종
30,서울,서울특별시 동작구 서달로 50-26,37.4985216,126.9625278,달마사,조계종
31,서울,서울특별시 서대문구 홍은동 8,37.5969949,126.9539463,옥천암,조계종
32,서울,서울특별시 서초구 남부순환로328길 49,37.475978,127.0134149,"백제불교초전법륜성지우면산대성사
(구 대성사)",대한불교조계종대각회
33,서울,서울특별시 성동구 옥수동 395,37.543552,127.0177089,미타사,조계종
34,서울,서울특별시 성북구 돈암동 595,37.59823,127.0091567,흥천사,조계종
35,서울,서울특별시 성북구 돈암동 593,37.5983865,127.0072916,적조사,조계종
36,서울,서울특별시 성북구 보문동3가 51,37.585188,127.0160625,미타사,조계종
37,서울,서울특별시 성북구 보문동3가 168,37.5846705,127.0160967,보문사,보문종
38,서울,서울특별시 성북구 성북동 330,37.6016698,126.9908856,정법사,선학원
39,서울,서울특별시 성북구 안암동5가 산4-11,37.5900147,127.0282597,개운사,조계종
40,서울,서울특별시 성북구 정릉동 637,37.6056567,127.0062567,봉국사,조계종
41,서울,서울특별시 성북구 정릉동 753,37.6146055,127.0045811,경국사,조계종
42,서울,서울특별시 성북구 정릉동 산1-1,37.6242392,126.9901206,내원사,조계종
43,서울,서울특별시 은평구 서오릉로23길 8-5,37.6159229,126.9050875,수국사,조계종
44,서울,서울특별시 은평구 진관길 73,37.6381414,126.9465791,진관사,조계종
45,서울,서울특별시 은평구 연서로 54길 127,37.6415981,126.9513359,삼천사,조계종
46,서울,서울특별시 은평구 대서문길 126,37.6460885,126.9537564,용암사,선학원
47,서울,서울특별시 은평구 은평로 20 나길 5-23,37.5972855,126.9333291,심택사,조계종
48,서울,서울특별시 종로구 우정국로 55(견지동),37.5734238,126.9827448,조계사,조계종
49,서울,서울특별시 종로구 비봉 137(구기동),37.6108091,126.9587154,금선사,조계종
50,서울,서울특별시 종로구 비봉4길 213(구기동),37.6269439,126.9605823,승가사,조계종
51,서울,서울특별시 종로구 비봉2길 304(구기동),37.6269439,126.9605823,문수사,조계종
52,서울,서울특별시 종로구 통일로 18가길 17(무악동),37.5786256,126.9593459,인왕사,인왕종
53,서울,서울특별시 종로구 율곡로10길 87(봉익동),37.5712149,126.9936525,대각사,조계종
54,서울,서울특별시 종로구 동망산길 65(숭인동),37.5799074,127.0167602,청룡사,조계종
55,서울,서울특별시 종로구 종로63가길 31(숭인동),37.5755069,127.0187588,묘각사,관음종
56,서울,서울특별시 종로구 율곡로 23길 16(충신동),37.575336,127.006846,감로암,조계종
57,서울,서울특별시 종로구 평창6길 79-141(평창동),37.6223765,126.974342,일선사,선학원
58,서울,서울특별시 종로구 세검정로 241-3(홍지동),37.6013973,126.958379,소림사,조계종
59,서울,서울특별시 종로구 창신5길 61(창신1동),37.5754461,127.013351,안양암,한국불교정안종
60,서울,서울특별시 서대문구 봉원동 산1번지,37.5756089,126.9462275,봉원사,태고종
61,부산,부산광역시 강서구 명지동 445,35.1173552,128.9189898,청량사,조계종
62,부산,부산광역시 금정구 금성동 397,35.2537116,129.0549009,국청사,조계종
63,부산,부산광역시 금정구 북문로 160,35.2604316,129.0484849,정수암,조계종
64,부산,부산광역시 금정구 북문로 126,35.2741231,129.0484994,미륵사,조계종
65,부산,부산광역시 금정구 청룡동 546,35.2842255,129.0686469,범어사,조계종
66,부산,부산광역시 기장군 기장읍 내리 692,35.2141405,129.1698949,안적사,조계종
67,부산,부산광역시 기장군 일광면 횡계리 산28-1,35.272341,129.2147451,월명사,승가종
68,부산,부산광역시 기장군 장안읍 임랑리 산1,35.3241021,129.2660973,묘관음사,선학원
69,부산,부산광역시 기장군 장안읍 장안리 606-1,35.3743851,129.2239296,척판암,조계종
70,부산,부산광역시 기장군 장안읍 장안리 598,35.3745529,129.2329111,장안사,조계종
71,부산,부산광역시 기장군 철마면 고촌리 319,35.2454895,129.1697039,고불사,조계종
